ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-40,9.7,48.9,17.7,0.0,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-46,10.5,48.9,17.7,0.2,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-52,10.6,48.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-58,10.3,48.9,17.7,0.0,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-04,11.3,48.9,17.7,0.2,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-10,8.4,48.9,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-16,9.8,48.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-22,10.0,48.9,17.7,0.2,14071519000332,31
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-28,10.9,48.9,17.7,0.0,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-33,9.9,48.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-39,10.4,48.9,17.7,0.1,14071519000332,38
