ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-30,9.8,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-36,10.4,49.9,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-42,9.8,49.8,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-48,10.1,50.0,17.7,0.2,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-54,9.7,50.0,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-07-59,9.3,50.0,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-05,10.0,50.0,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-11,14.7,50.0,17.7,0.2,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-17,10.9,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-23,10.0,49.8,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-29,9.6,49.8,17.7,0.0,14071519000332,40
