ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-19,9.7,49.1,17.7,0.6,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-25,9.2,49.1,17.7,1.0,14071519000332,30
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-31,8.3,49.1,17.7,0.9,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-37,9.3,49.4,17.7,0.4,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-43,12.3,49.6,17.7,13.7,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-49,12.5,50.1,17.7,28.3,14071519000332,30
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-05-55,8.9,50.0,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-01,10.0,50.0,17.7,0.4,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-07,10.1,49.9,17.7,0.5,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-13,10.6,49.9,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-06-19,9.5,49.9,17.7,0.1,14071519000332,40
