ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,System Idle Process,90.9,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,System,0.4,0.0,1170.4,14071519000332,0,1227242643
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,Registry,0.0,0.0,224.8,14071519000332,0,235765760
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,chrome.exe,0.0,0.0,6287.1,14071519000332,0,6592541061
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,lsass.exe,0.0,0.0,1.4,14071519000332,0,1482445
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,Code.exe,0.0,0.0,20.1,14071519000332,0,21095780
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4908412
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,22.7,14071519000332,0,23822379
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,chrome.exe,0.0,0.0,1.5,14071519000332,0,1574940
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,24.8,14071519000332,0,25979970
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,Code.exe,0.0,0.0,231.1,14071519000332,0,242294382
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,27.7,14071519000332,0,29069208
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,MemCompression,0.0,1.6,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,chrome.exe,0.0,0.0,184.6,14071519000332,0,193589218
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,15.9,14071519000332,0,16636688
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,chrome.exe,0.0,0.0,3.2,14071519000332,0,3394245
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125623654
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,22.4,14071519000332,0,23527633
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,svchost.exe,0.0,0.0,53.0,14071519000332,0,55558016
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-08,KillerAnalyticsService.exe,0.0,0.0,3.3,14071519000332,0,3417380
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,svchost.exe,0.0,0.0,11.8,14071519000332,0,12362144
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,RtkAudUService64.exe,0.0,0.0,29.6,14071519000332,0,31031296
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,MsMpEng.exe,0.1,1.1,877.8,14071519000332,0,920457888
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,mysqld.exe,0.0,0.0,176.3,14071519000332,0,184888410
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,chrome.exe,0.0,0.0,1.4,14071519000332,0,1462504
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,KillerNetworkService.exe,0.0,0.0,1.9,14071519000332,0,2004325
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,python3.13.exe,2.2,0.0,0.0,14071519000332,0,424013
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,Code.exe,0.0,0.0,121.7,14071519000332,0,127594604
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,KAPS.exe,0.0,0.0,22.6,14071519000332,0,23651044
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,chrome.exe,0.0,0.0,61.3,14071519000332,0,64307185
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,chrome.exe,0.0,0.0,51.2,14071519000332,0,53697810
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,svchost.exe,0.2,0.0,402.8,14071519000332,0,422321943
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,gamingservices.exe,0.0,0.0,10.8,14071519000332,0,11372446
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,Code.exe,0.0,0.0,28.6,14071519000332,0,30032297
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,Code.exe,0.0,0.0,1.1,14071519000332,0,1183032
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,msedgewebview2.exe,0.0,0.0,1.1,14071519000332,0,1146376
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,NVDisplay.Container.exe,0.0,0.0,4.6,14071519000332,0,4778841
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,svchost.exe,0.0,0.0,59.1,14071519000332,0,61926310
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,MySQLWorkbench.exe,0.0,0.0,47.1,14071519000332,0,49398495
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,Code.exe,0.0,0.0,66.0,14071519000332,0,69238445
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,chrome.exe,0.0,0.0,3.2,14071519000332,0,3401376
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,dwm.exe,0.9,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,explorer.exe,0.0,1.0,1.8,14071519000332,0,1846699
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,chrome.exe,0.0,0.0,97.8,14071519000332,0,102536252
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-09,chrome.exe,0.0,1.3,1150.2,14071519000332,0,1206074011
