ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-10,11.7,49.7,17.7,0.0,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-16,11.1,49.6,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-21,11.6,49.6,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-27,11.8,49.6,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-33,10.7,49.6,17.7,0.0,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-39,10.7,49.6,17.7,0.2,14071519000332,31
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-45,11.0,49.6,17.7,0.2,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-51,10.9,49.6,17.7,0.2,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-57,9.9,49.6,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-03,9.7,49.6,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-09,11.0,49.6,17.7,0.0,14071519000332,39
