ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-11,8.2,55.5,17.7,0.4,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-17,9.0,55.7,17.7,8.1,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-23,12.2,55.2,17.7,25.2,14071519000332,26
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-29,9.5,55.1,17.7,1.3,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-35,9.9,55.1,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-41,11.1,55.0,17.7,0.6,14071519000332,43
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-47,11.6,55.0,17.7,0.4,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-54,11.8,55.0,17.7,0.4,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-00,10.7,55.0,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-06,10.5,55.1,17.7,0.2,14071519000332,38
