ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,System Idle Process,90.7,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,System,0.4,0.0,1167.5,14071519000332,0,1224211603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,Registry,0.0,0.0,224.8,14071519000332,0,235671552
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,chrome.exe,0.0,0.0,6286.8,14071519000332,0,6592239339
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,lsass.exe,0.0,0.0,1.4,14071519000332,0,1482445
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,Code.exe,0.0,0.0,20.1,14071519000332,0,21037340
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4908300
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,svchost.exe,0.0,0.0,22.7,14071519000332,0,23822379
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,chrome.exe,0.0,0.0,1.5,14071519000332,0,1574604
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,svchost.exe,0.0,0.0,24.8,14071519000332,0,25979970
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,Code.exe,0.0,0.0,231.1,14071519000332,0,242287270
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,svchost.exe,0.0,0.0,27.7,14071519000332,0,29068080
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,MemCompression,0.0,1.6,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,chrome.exe,0.0,0.0,184.5,14071519000332,0,193438402
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,svchost.exe,0.0,0.0,15.9,14071519000332,0,16636688
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,chrome.exe,0.0,0.0,3.2,14071519000332,0,3393909
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-08,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125623654
