ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,System Idle Process,90.0,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,System,0.6,0.0,1209.6,14071519000332,0,1268382867
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,Registry,0.0,0.0,227.3,14071519000332,0,238370816
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,chrome.exe,0.0,0.0,6312.4,14071519000332,0,6619074373
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,lsass.exe,0.0,0.0,1.4,14071519000332,0,1483585
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,Code.exe,0.0,0.0,20.6,14071519000332,0,21625396
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,Code.exe,0.0,0.0,226.3,14071519000332,0,237294746
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4922788
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,svchost.exe,0.0,0.0,23.1,14071519000332,0,24203514
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,chrome.exe,0.0,0.0,1.5,14071519000332,0,1613276
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,Code.exe,0.0,0.0,231.2,14071519000332,0,242388142
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,svchost.exe,0.0,0.0,27.8,14071519000332,0,29114936
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,MemCompression,0.0,1.5,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,chrome.exe,0.0,0.0,189.4,14071519000332,0,198638445
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,svchost.exe,0.0,0.0,15.9,14071519000332,0,16649048
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-46,chrome.exe,0.0,0.0,3.3,14071519000332,0,3446029
