ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-41,10.5,49.9,17.7,1.0,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-47,9.3,49.8,17.7,0.2,14071519000332,42
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-52,9.7,49.9,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-58,12.5,49.8,17.7,0.0,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-04,10.6,49.9,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-10,10.9,49.8,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-16,11.2,49.8,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-22,9.0,49.8,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-28,10.2,49.8,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-34,10.2,49.8,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-40,9.8,49.9,17.7,0.1,14071519000332,39
