ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,System Idle Process,90.4,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,System,0.5,0.0,1213.7,14071519000332,0,1272654995
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,Registry,0.0,0.0,227.4,14071519000332,0,238448640
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,chrome.exe,0.0,0.0,6312.7,14071519000332,0,6619353915
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,lsass.exe,0.0,0.0,1.4,14071519000332,0,1484473
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,Code.exe,0.0,0.0,20.6,14071519000332,0,21625396
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,Code.exe,0.0,0.0,226.3,14071519000332,0,237294746
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4923308
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,23.5,14071519000332,0,24666146
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,chrome.exe,0.0,0.0,1.5,14071519000332,0,1613948
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,Code.exe,0.0,0.0,231.2,14071519000332,0,242395758
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,27.8,14071519000332,0,29119544
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,MemCompression,0.0,1.5,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,chrome.exe,0.0,0.0,189.9,14071519000332,0,199104656
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,15.9,14071519000332,0,16649048
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,chrome.exe,0.0,0.0,3.3,14071519000332,0,3446701
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125634430
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,25.0,14071519000332,0,26260115
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,56.0,14071519000332,0,58670976
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,KillerAnalyticsService.exe,0.0,0.0,3.5,14071519000332,0,3637392
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,svchost.exe,0.0,0.0,11.8,14071519000332,0,12362144
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,RtkAudUService64.exe,0.0,0.0,30.3,14071519000332,0,31764480
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-55,MsMpEng.exe,0.0,1.0,877.9,14071519000332,0,920507614
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,mysqld.exe,0.0,0.0,176.3,14071519000332,0,184888410
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,chrome.exe,0.0,0.0,1.4,14071519000332,0,1504456
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,KillerNetworkService.exe,0.0,0.0,1.9,14071519000332,0,2004325
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,python3.13.exe,2.1,0.0,2.4,14071519000332,0,2492013
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,Code.exe,0.0,0.0,122.6,14071519000332,0,128528276
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,KAPS.exe,0.0,0.0,23.3,14071519000332,0,24393278
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,chrome.exe,0.0,0.0,61.4,14071519000332,0,64359609
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,chrome.exe,0.0,0.0,51.3,14071519000332,0,53742034
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,svchost.exe,0.1,0.0,414.2,14071519000332,0,434344103
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,gamingservices.exe,0.0,0.0,10.8,14071519000332,0,11372446
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,Code.exe,0.0,0.0,28.6,14071519000332,0,30032297
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,Code.exe,0.0,0.0,3.3,14071519000332,0,3469768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,msedgewebview2.exe,0.0,0.0,1.1,14071519000332,0,1164312
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,NVDisplay.Container.exe,0.0,0.0,4.6,14071519000332,0,4778841
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,svchost.exe,0.0,0.0,59.1,14071519000332,0,61926310
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,MySQLWorkbench.exe,0.0,0.0,49.8,14071519000332,0,52207444
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,Code.exe,0.0,0.0,71.4,14071519000332,0,74837177
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,chrome.exe,0.0,0.0,3.4,14071519000332,0,3611152
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,dwm.exe,0.2,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,explorer.exe,0.0,1.0,1.8,14071519000332,0,1846699
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,chrome.exe,0.0,0.0,98.4,14071519000332,0,103173407
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,chrome.exe,0.0,1.3,1150.3,14071519000332,0,1206178819
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,Code.exe,0.0,0.0,1.8,14071519000332,0,1914952
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-56,svchost.exe,0.0,0.0,16.8,14071519000332,0,17658033
