ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-20-35,10.9,50.1,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-20-41,10.2,50.0,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-20-47,10.1,50.0,17.7,0.2,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-20-53,11.6,49.9,17.7,0.0,14071519000332,33
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-20-59,11.4,49.9,17.7,0.5,14071519000332,42
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-05,10.8,49.9,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-11,11.6,49.9,17.7,0.2,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-17,10.8,49.9,17.7,0.6,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-23,10.5,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-29,9.2,49.9,17.7,0.0,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-21-35,10.3,49.8,17.7,0.5,14071519000332,39
