ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,System Idle Process,90.4,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,System,0.8,0.0,1189.2,14071519000332,0,1247018131
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,Registry,0.0,0.0,225.6,14071519000332,0,236523520
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,chrome.exe,0.0,0.0,6309.1,14071519000332,0,6615598859
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,lsass.exe,0.1,0.0,1.4,14071519000332,0,1483333
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,Code.exe,0.0,0.0,20.3,14071519000332,0,21331204
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-45,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4910124
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-46,svchost.exe,0.0,0.0,22.9,14071519000332,0,23988860
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-46,chrome.exe,0.0,0.0,1.5,14071519000332,0,1609916
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-46,svchost.exe,0.0,0.0,24.9,14071519000332,0,26145050
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-46,Code.exe,0.0,0.0,231.1,14071519000332,0,242335062
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-46,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-46,svchost.exe,0.0,0.0,27.8,14071519000332,0,29106848
