ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-04,5.1,36.0,17.7,0.2,14071519000332,1
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-10,6.3,36.2,17.7,0.5,14071519000332,6
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-16,7.0,36.4,17.7,0.4,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-21,5.6,36.7,17.7,19.4,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-27,18.6,39.4,17.7,100.0,14071519000332,2
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-33,54.5,49.0,17.7,100.0,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-39,23.3,53.6,17.7,80.8,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-45,18.2,57.9,17.7,100.0,14071519000332,27
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-51,14.0,57.7,17.7,15.0,14071519000332,30
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-57-58,7.7,57.3,17.7,11.8,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-04,10.7,56.9,17.7,22.2,14071519000332,39
