ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-14,10.9,49.6,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-20,9.9,49.6,17.7,0.3,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-26,9.5,49.6,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-32,9.2,49.6,17.7,0.0,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-38,8.3,49.6,17.7,0.2,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-44,9.3,49.6,17.7,0.0,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-49,8.6,49.6,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-29-55,17.4,50.7,17.7,0.9,14071519000332,15
