ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-24,12.6,49.5,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-30,11.9,49.5,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-36,11.9,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-42,12.4,49.5,17.7,0.0,14071519000332,49
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-48,12.1,49.5,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-54,12.2,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-00,11.9,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-06,12.4,49.5,17.7,0.1,14071519000332,42
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-11,11.7,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-17,12.5,49.5,17.7,0.2,14071519000332,32
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-23,11.7,49.5,17.7,0.1,14071519000332,39
