fk_modelo,fk_zona,fk_empresa,timestamp,cpu,ram,armazenamento,disco_uso,gpu
1,1,1,2025-11-30_15-24-25,18.1,61.2,48.3,0.4,0
1,1,1,2025-11-30_15-25-33,12.2,61.4,48.3,0.1,0
1,1,1,2025-11-30_15-26-42,16.4,60.9,48.3,0.1,0
1,1,1,2025-11-30_15-27-50,9.5,61.0,48.3,0.1,0
1,1,1,2025-11-30_15-28-58,1.8,60.8,48.3,0.0,0
1,1,1,2025-11-30_15-30-05,1.6,60.7,48.3,0.6,0
