fk_modelo,fk_zona,fk_empresa,timestamp,processo,cpu,ram,dados_gravados,gpu,disco_uso
1,1,1,2025-11-17_19-28-16,System Idle Process,97.0,0.0,0.0,0,0
1,1,1,2025-11-17_19-28-17,System,0.0,0.0,1444.2,0,1514376109
1,1,1,2025-11-17_19-28-17,Registry,0.0,0.0,656.2,0,688041984
1,1,1,2025-11-17_19-28-17,Spotify.exe,0.0,0.0,40.6,0,42611913
1,1,1,2025-11-17_19-28-17,Spotify.exe,0.0,1.5,694.0,0,727753391
1,1,1,2025-11-17_19-28-17,lsass.exe,0.0,0.0,3.2,0,3392569
1,1,1,2025-11-17_19-28-17,chrome.exe,0.0,0.0,19.5,0,20455530
1,1,1,2025-11-17_19-28-17,IEDSearch.exe,0.0,0.0,123.9,0,129886646
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,150.3,0,157629112
1,1,1,2025-11-17_19-28-17,Code.exe,0.0,0.0,14.7,0,15365572
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,84.0,0,88062718
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,20.6,0,21651616
1,1,1,2025-11-17_19-28-17,Code.exe,0.0,6.6,33.5,0,35142542
1,1,1,2025-11-17_19-28-17,MySQLWorkbench.exe,0.0,0.0,5.9,0,6147334
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,55.6,0,58306389
1,1,1,2025-11-17_19-28-17,steamwebhelper.exe,0.0,0.0,6.2,0,6552180
1,1,1,2025-11-17_19-28-17,MemCompression,0.0,5.2,0.0,0,0
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,63.8,0,66887697
1,1,1,2025-11-17_19-28-17,Code.exe,0.0,0.0,4.3,0,4533024
1,1,1,2025-11-17_19-28-17,chrome.exe,0.0,0.0,38.5,0,40418900
1,1,1,2025-11-17_19-28-17,steamwebhelper.exe,0.0,2.1,7.0,0,7357470
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,4.5,0,4715536
1,1,1,2025-11-17_19-28-17,dllhost.exe,0.0,0.0,1.3,0,1327104
1,1,1,2025-11-17_19-28-17,AvastSvc.exe,0.0,1.3,99.7,0,104515257
1,1,1,2025-11-17_19-28-17,chrome.exe,0.0,0.0,6.2,0,6522217
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,1865.1,0,1955727559
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,1.3,0,1376076
1,1,1,2025-11-17_19-28-17,SearchIndexer.exe,0.0,0.0,88.5,0,92761736
1,1,1,2025-11-17_19-28-17,aswToolsSvc.exe,0.0,0.0,19.4,0,20393946
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,17.3,0,18178615
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,162.8,0,170673326
1,1,1,2025-11-17_19-28-17,ArmouryCrate.Service.exe,0.0,0.0,8.7,0,9077001
1,1,1,2025-11-17_19-28-17,armsvc.exe,0.0,0.0,3.0,0,3182632
1,1,1,2025-11-17_19-28-17,MsMpEng.exe,0.0,1.9,2111.4,0,2213973876
1,1,1,2025-11-17_19-28-17,DSAService.exe,0.0,0.0,72.4,0,75940874
1,1,1,2025-11-17_19-28-17,Microsoft.Notes.exe,0.0,0.0,12.8,0,13407050
1,1,1,2025-11-17_19-28-17,SearchApp.exe,0.0,0.0,24.8,0,25959517
1,1,1,2025-11-17_19-28-17,mysqld.exe,0.0,0.0,131.2,0,137595652
1,1,1,2025-11-17_19-28-17,dllhost.exe,0.0,0.0,5.2,0,5439488
1,1,1,2025-11-17_19-28-17,Spotify.exe,0.0,0.0,8.8,0,9257504
1,1,1,2025-11-17_19-28-17,steam.exe,0.0,0.0,14.1,0,14749554
1,1,1,2025-11-17_19-28-17,MoUsoCoreWorker.exe,0.0,0.0,129.5,0,135743142
1,1,1,2025-11-17_19-28-17,taskhostw.exe,0.0,0.0,14.5,0,15239332
1,1,1,2025-11-17_19-28-17,Code.exe,0.0,0.0,23.0,0,24135037
1,1,1,2025-11-17_19-28-17,svchost.exe,0.0,0.0,97.1,0,101819932
1,1,1,2025-11-17_19-28-18,aswidsagent.exe,0.0,0.0,64.1,0,67208697
1,1,1,2025-11-17_19-28-18,WhatsApp.exe,0.0,0.0,2.6,0,2741353
1,1,1,2025-11-17_19-28-18,jetbrains-toolbox.exe,0.0,0.0,1.7,0,1741505
1,1,1,2025-11-17_19-28-18,esrv.exe,0.0,0.0,40.4,0,42323051
1,1,1,2025-11-17_19-28-18,ArmouryCrate.UserSessionHelper.exe,0.0,0.0,33.3,0,34880998
1,1,1,2025-11-17_19-28-18,gamingservices.exe,0.0,0.0,9.3,0,9701479
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,0.0,2.7,0,2855377
1,1,1,2025-11-17_19-28-18,svchost.exe,0.0,0.0,468.0,0,490749485
1,1,1,2025-11-17_19-28-18,python.exe,4.5,0.0,0.0,0,12199
1,1,1,2025-11-17_19-28-18,Code.exe,0.0,0.0,41.8,0,43882428
1,1,1,2025-11-17_19-28-18,Code.exe,0.0,0.0,10.2,0,10681958
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,1.0,13.9,0,14627426
1,1,1,2025-11-17_19-28-18,svchost.exe,0.0,0.0,9.1,0,9586301
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,0.0,1.9,0,1958126
1,1,1,2025-11-17_19-28-18,Code.exe,0.0,2.1,617.0,0,646994460
1,1,1,2025-11-17_19-28-18,Spotify.exe,0.0,1.4,316.5,0,331923658
1,1,1,2025-11-17_19-28-18,Code.exe,0.0,1.2,481.6,0,505016366
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,1.4,1733.3,0,1817480138
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,1.1,22.4,0,23459365
1,1,1,2025-11-17_19-28-18,AvastUI.exe,0.0,0.0,1.2,0,1207424
1,1,1,2025-11-17_19-28-18,AdobeCollabSync.exe,0.0,0.0,4.2,0,4446833
1,1,1,2025-11-17_19-28-18,explorer.exe,0.0,1.2,13.7,0,14371450
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,0.0,143.7,0,150696503
1,1,1,2025-11-17_19-28-18,Spotify.exe,0.0,0.0,2.2,0,2328758
1,1,1,2025-11-17_19-28-18,atieclxx.exe,0.0,0.0,2.9,0,3047622
1,1,1,2025-11-17_19-28-18,svchost.exe,0.0,0.0,9.9,0,10400026
1,1,1,2025-11-17_19-28-18,steamwebhelper.exe,0.0,0.0,8.4,0,8775262
1,1,1,2025-11-17_19-28-18,Code.exe,0.0,0.0,173.0,0,181454105
1,1,1,2025-11-17_19-28-18,steamwebhelper.exe,0.0,0.0,10.8,0,11334869
1,1,1,2025-11-17_19-28-18,chrome.exe,0.0,0.0,397.9,0,417196736
1,1,1,2025-11-17_19-28-18,CodeSetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.exe,0.0,0.0,3.3,0,3494984
1,1,1,2025-11-17_19-28-18,CodeSetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.tmp,0.0,0.0,438.0,0,459321158
1,1,1,2025-11-17_19-28-28,System Idle Process,92.8,0.0,0.0,0,0
1,1,1,2025-11-17_19-28-28,System,0.1,0.0,1444.2,0,1514384301
1,1,1,2025-11-17_19-28-28,Registry,0.0,0.0,656.2,0,688041984
1,1,1,2025-11-17_19-28-28,Spotify.exe,0.0,0.0,40.6,0,42612249
1,1,1,2025-11-17_19-28-28,Spotify.exe,0.0,1.5,694.0,0,727753727
1,1,1,2025-11-17_19-28-28,lsass.exe,0.0,0.0,3.2,0,3392569
1,1,1,2025-11-17_19-28-28,chrome.exe,0.0,0.0,19.5,0,20455642
1,1,1,2025-11-17_19-28-28,IEDSearch.exe,0.0,0.0,123.9,0,129886646
1,1,1,2025-11-17_19-28-28,svchost.exe,0.0,0.0,150.5,0,157860400
1,1,1,2025-11-17_19-28-28,Code.exe,1.2,0.0,14.7,0,15426612
1,1,1,2025-11-17_19-28-28,svchost.exe,0.0,0.0,84.0,0,88062718
1,1,1,2025-11-17_19-28-28,svchost.exe,0.0,0.0,20.6,0,21651616
1,1,1,2025-11-17_19-28-28,Code.exe,0.0,6.6,33.5,0,35142542
1,1,1,2025-11-17_19-28-28,MySQLWorkbench.exe,0.0,0.0,5.9,0,6157552
1,1,1,2025-11-17_19-28-28,svchost.exe,0.0,0.0,55.6,0,58306389
1,1,1,2025-11-17_19-28-28,steamwebhelper.exe,0.0,0.0,6.2,0,6552284
1,1,1,2025-11-17_19-28-29,MemCompression,0.0,5.2,0.0,0,0
1,1,1,2025-11-17_19-28-29,svchost.exe,0.0,0.0,63.8,0,66887697
1,1,1,2025-11-17_19-28-29,Code.exe,0.0,0.0,4.4,0,4567936
1,1,1,2025-11-17_19-28-29,chrome.exe,0.0,0.0,38.5,0,40419012
1,1,1,2025-11-17_19-28-29,steamwebhelper.exe,0.0,2.1,7.0,0,7357470
1,1,1,2025-11-17_19-28-29,svchost.exe,0.0,0.0,4.5,0,4715536
1,1,1,2025-11-17_19-28-29,dllhost.exe,0.0,0.0,1.3,0,1327104
1,1,1,2025-11-17_19-28-29,AvastSvc.exe,0.1,1.3,99.7,0,104529686
1,1,1,2025-11-17_19-28-29,chrome.exe,0.0,0.0,6.2,0,6522329
1,1,1,2025-11-17_19-28-29,svchost.exe,0.0,0.0,1865.1,0,1955727559
1,1,1,2025-11-17_19-28-29,svchost.exe,0.0,0.0,1.3,0,1376076
1,1,1,2025-11-17_19-28-29,SearchIndexer.exe,0.0,0.0,88.5,0,92761736
1,1,1,2025-11-17_19-28-29,aswToolsSvc.exe,0.0,0.0,19.4,0,20393946
1,1,1,2025-11-17_19-28-29,svchost.exe,0.0,0.0,17.3,0,18178615
1,1,1,2025-11-17_19-28-29,svchost.exe,0.0,0.0,162.8,0,170673326
1,1,1,2025-11-17_19-28-29,ArmouryCrate.Service.exe,0.0,0.0,8.7,0,9077001
