ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-06,11.6,49.5,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-12,10.9,49.5,17.7,0.0,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-18,13.3,49.5,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-24,12.0,49.5,17.7,0.1,14071519000332,33
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-30,12.0,49.5,17.7,0.1,14071519000332,42
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-36,13.1,49.5,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-42,11.1,49.5,17.7,0.2,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-48,13.3,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-54,12.6,49.5,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-16-00,12.6,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-16-06,12.1,49.5,17.7,0.1,14071519000332,36
