ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-14,10.7,49.3,17.7,0.2,14071519000332,42
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-20,10.5,49.3,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-26,10.2,49.4,17.7,0.4,14071519000332,33
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-32,9.4,49.4,17.7,0.3,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-38,10.1,49.4,17.7,0.5,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-44,10.7,49.3,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-50,11.2,49.3,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-03-56,9.8,49.2,17.7,0.1,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-04-02,10.0,49.2,17.7,0.3,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-04-08,10.0,49.2,17.7,0.0,14071519000332,41
