fk_modelo,fk_zona,fk_empresa,timestamp,cpu,ram,armazenamento,disco_uso
1,1,1,2025-11-17_19-28-11,8.7,56.4,51.2,1.4
1,1,1,2025-11-17_19-28-11,8.7,56.4,51.2,1.4
1,1,1,2025-11-17_19-28-22,5.4,56.5,51.2,1.7
