ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-55,10.8,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-01,11.1,49.8,17.7,1.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-07,10.6,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-13,10.8,49.8,17.7,0.0,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-19,10.5,49.8,17.7,0.1,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-24,10.6,49.8,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-30,11.3,49.8,17.7,0.1,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-36,9.0,49.8,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-42,14.4,49.6,17.7,1.5,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-48,9.9,49.6,17.7,0.2,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-25-54,11.2,49.6,17.7,0.4,14071519000332,40
