ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-00,11.5,49.6,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-06,11.4,49.6,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-12,11.8,49.6,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-17,10.0,49.6,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-23,9.7,49.6,17.7,0.3,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-29,9.9,49.6,17.7,0.1,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-35,8.5,49.6,17.7,0.1,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-41,9.0,49.6,17.7,0.0,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-47,10.3,49.6,17.7,0.2,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-53,11.0,49.6,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-26-59,12.6,49.6,17.7,0.1,14071519000332,40
