ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-10,9.1,56.7,17.7,6.8,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-16,9.3,55.9,17.7,5.9,14071519000332,1
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-22,13.2,55.3,17.7,4.6,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-28,10.6,38.7,17.7,3.9,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-34,10.1,53.2,17.7,5.6,14071519000332,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-40,15.5,51.7,17.7,3.0,14071519000332,7
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-46,19.7,56.1,17.7,4.5,14071519000332,31
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-53,11.3,55.9,17.7,1.8,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-58-59,8.4,55.8,17.7,2.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-05,8.4,55.5,17.7,1.5,14071519000332,39
