fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:07.046046,Processo fora da whitelist morto: mdnsresponder
1,1,1,2025-11-17 19:28:07.048902,Processo fora da whitelist morto: iedservice
1,1,1,2025-11-17 19:28:07.051840,Processo fora da whitelist morto: armourycrate.service
1,1,1,2025-11-17 19:28:07.054591,Processo fora da whitelist morto: armsvc
1,1,1,2025-11-17 19:28:07.057526,Processo fora da whitelist morto: rogliveservice
1,1,1,2025-11-17 19:28:07.060545,Processo fora da whitelist morto: sursvc
1,1,1,2025-11-17 19:28:07.063403,Processo fora da whitelist morto: msmpeng
1,1,1,2025-11-17 19:28:07.066235,Processo fora da whitelist morto: officeclicktorun
1,1,1,2025-11-17 19:28:07.069011,Processo fora da whitelist morto: asusfancontrolservice
1,1,1,2025-11-17 19:28:07.071888,Processo fora da whitelist morto: audiodg
1,1,1,2025-11-17 19:28:07.074822,Processo fora da whitelist morto: mpdefendercoreservice
1,1,1,2025-11-17 19:28:07.078550,Processo fora da whitelist morto: securityhealthservice
1,1,1,2025-11-17 19:28:07.081265,Processo fora da whitelist morto: spacedeskservice
1,1,1,2025-11-17 19:28:07.084116,Processo fora da whitelist morto: dsaupdateservice
1,1,1,2025-11-17 19:28:07.086965,Processo fora da whitelist morto: dsaservice
1,1,1,2025-11-17 19:28:07.089850,Processo fora da whitelist morto: jhi_service
1,1,1,2025-11-17 19:28:07.092805,Processo fora da whitelist morto: rstmwservice
1,1,1,2025-11-17 19:28:07.095521,Processo fora da whitelist morto: rvcontrolsvc
1,1,1,2025-11-17 19:28:07.098305,Processo fora da whitelist morto: wmiregistrationservice
1,1,1,2025-11-17 19:28:07.101168,Processo fora da whitelist morto: microsoft.notes
1,1,1,2025-11-17 19:28:07.104092,Processo fora da whitelist morto: lockapp
1,1,1,2025-11-17 19:28:07.106824,Processo fora da whitelist morto: dashost
1,1,1,2025-11-17 19:28:07.109775,Processo fora da whitelist morto: acpowernotification
1,1,1,2025-11-17 19:28:07.112524,Processo fora da whitelist morto: searchapp
1,1,1,2025-11-17 19:28:07.115312,Processo fora da whitelist morto: atiesrxx
1,1,1,2025-11-17 19:28:07.118261,Processo fora da whitelist morto: aswengsrv
1,1,1,2025-11-17 19:28:07.121226,Processo fora da whitelist morto: unsecapp
