ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-45,9.4,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-51,9.3,49.9,17.7,0.0,14071519000332,43
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-22-57,9.9,49.9,17.7,0.2,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-03,9.8,49.9,17.7,0.1,14071519000332,44
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-09,11.8,49.9,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-15,10.7,49.9,17.7,0.3,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-21,10.5,49.9,17.7,0.0,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-27,11.3,49.9,17.7,0.0,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-33,10.3,49.9,17.7,0.1,14071519000332,32
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-38,10.8,49.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-44,10.1,49.9,17.7,0.1,14071519000332,39
