ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-13,11.1,49.1,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-19,11.7,49.1,17.7,0.1,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-25,10.8,49.1,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-31,11.4,49.1,17.7,0.3,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-37,11.4,49.1,17.7,0.4,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-43,10.9,49.2,17.7,0.0,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-49,11.3,49.4,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-55,10.1,49.4,17.7,0.1,14071519000332,31
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-01,11.4,49.4,17.7,0.1,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-02-07,10.1,49.4,17.7,0.3,14071519000332,40
