ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-01,12.6,49.7,17.7,0.0,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-07,12.2,49.7,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-13,11.4,49.7,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-19,11.3,49.6,17.7,0.1,14071519000332,33
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-25,11.5,49.5,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-31,12.5,49.5,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-37,12.4,49.5,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-42,12.4,49.5,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-48,12.5,49.5,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-14-54,13.5,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-15-00,12.7,49.5,17.7,0.1,14071519000332,42
