ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,System Idle Process,89.7,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,System,0.2,0.0,1211.3,14071519000332,0,1270135955
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,Registry,0.0,0.0,227.4,14071519000332,0,238411776
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,chrome.exe,0.0,0.0,6312.7,14071519000332,0,6619301044
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,lsass.exe,0.0,0.0,1.4,14071519000332,0,1483585
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,Code.exe,0.0,0.0,20.6,14071519000332,0,21625396
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,Code.exe,0.0,0.0,226.3,14071519000332,0,237294746
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4922900
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,svchost.exe,0.0,0.0,23.1,14071519000332,0,24203514
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,chrome.exe,0.0,0.0,1.5,14071519000332,0,1613612
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,Code.exe,0.0,0.0,231.2,14071519000332,0,242391950
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-50,svchost.exe,0.0,0.0,27.8,14071519000332,0,29119032
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,MemCompression,0.0,1.5,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,189.7,14071519000332,0,198934632
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,15.9,14071519000332,0,16649048
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,3.3,14071519000332,0,3446365
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125634430
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,25.0,14071519000332,0,26194195
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,53.3,14071519000332,0,55918464
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,KillerAnalyticsService.exe,0.0,0.0,3.4,14071519000332,0,3603544
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,11.8,14071519000332,0,12362144
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,RtkAudUService64.exe,0.0,0.0,30.3,14071519000332,0,31764480
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,MsMpEng.exe,0.1,1.0,877.9,14071519000332,0,920507614
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,mintty.exe,0.2,0.0,0.0,14071519000332,0,18466
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,mysqld.exe,0.1,0.0,176.3,14071519000332,0,184888410
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,1.4,14071519000332,0,1504120
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,KillerNetworkService.exe,0.0,0.0,1.9,14071519000332,0,2004325
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,python3.13.exe,2.0,0.0,2.3,14071519000332,0,2397500
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,122.5,14071519000332,0,128493940
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,KAPS.exe,0.0,0.0,23.2,14071519000332,0,24356586
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,conhost.exe,0.1,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,61.4,14071519000332,0,64359273
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,51.3,14071519000332,0,53741698
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.1,0.0,413.7,14071519000332,0,433783783
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,gamingservices.exe,0.0,0.0,10.8,14071519000332,0,11372446
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,28.6,14071519000332,0,30032297
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,3.2,14071519000332,0,3365032
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,msedgewebview2.exe,0.0,0.0,1.1,14071519000332,0,1164312
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,NVDisplay.Container.exe,0.1,0.0,4.6,14071519000332,0,4778841
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,59.1,14071519000332,0,61926310
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,MySQLWorkbench.exe,0.1,0.0,49.7,14071519000332,0,52069943
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,71.1,14071519000332,0,74588417
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,csrss.exe,0.1,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,3.4,14071519000332,0,3603200
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,dwm.exe,0.2,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,explorer.exe,0.0,1.0,1.8,14071519000332,0,1846699
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,0.0,98.4,14071519000332,0,103173071
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,chrome.exe,0.0,1.3,1150.3,14071519000332,0,1206176915
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,1.8,14071519000332,0,1914952
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,svchost.exe,0.0,0.0,16.8,14071519000332,0,17658033
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,msedgewebview2.exe,0.0,0.0,14.2,14071519000332,0,14875489
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-51,Code.exe,0.0,0.0,30.3,14071519000332,0,31799240
