ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,System Idle Process,91.6,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,System,0.2,0.0,1201.5,14071519000332,0,1259916435
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Registry,0.0,0.0,226.7,14071519000332,0,237735936
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,chrome.exe,0.0,0.0,6309.8,14071519000332,0,6616330908
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,lsass.exe,0.0,0.0,1.4,14071519000332,0,1483333
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Code.exe,0.0,0.0,20.5,14071519000332,0,21448860
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4921820
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,23.0,14071519000332,0,24110115
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,chrome.exe,0.0,0.0,1.5,14071519000332,0,1611708
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Code.exe,0.0,0.0,231.1,14071519000332,0,242364598
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,27.8,14071519000332,0,29108736
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,MemCompression,0.0,1.6,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,chrome.exe,0.0,0.0,188.3,14071519000332,0,197473156
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,15.9,14071519000332,0,16636688
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,chrome.exe,0.0,0.0,3.3,14071519000332,0,3444349
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125631822
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,22.4,14071519000332,0,23527633
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,53.0,14071519000332,0,55558016
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,KillerAnalyticsService.exe,0.0,0.0,3.4,14071519000332,0,3586620
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,svchost.exe,0.0,0.0,11.8,14071519000332,0,12362144
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,RtkAudUService64.exe,0.0,0.0,30.2,14071519000332,0,31621120
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,MsMpEng.exe,0.3,1.0,877.9,14071519000332,0,920507614
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,mintty.exe,0.2,0.0,0.0,14071519000332,0,18466
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,mysqld.exe,0.0,0.0,176.3,14071519000332,0,184888410
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,chrome.exe,0.0,0.0,1.4,14071519000332,0,1502216
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,KillerNetworkService.exe,0.0,0.0,1.9,14071519000332,0,2004325
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,python3.13.exe,2.2,0.0,1.7,14071519000332,0,1828453
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,Code.exe,0.0,0.0,122.3,14071519000332,0,128264725
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-19,KAPS.exe,0.0,0.0,23.0,14071519000332,0,24156187
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,chrome.exe,0.0,0.0,61.4,14071519000332,0,64357369
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,chrome.exe,0.0,0.0,51.3,14071519000332,0,53739682
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,svchost.exe,0.1,0.0,410.6,14071519000332,0,430524863
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,gamingservicesnet.exe,0.1,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,gamingservices.exe,0.0,0.0,10.8,14071519000332,0,11372446
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,Code.exe,0.0,0.0,28.6,14071519000332,0,30032297
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,Code.exe,0.0,0.0,2.6,14071519000332,0,2736616
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,msedgewebview2.exe,0.0,0.0,1.1,14071519000332,0,1164200
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,NVDisplay.Container.exe,0.0,0.0,4.6,14071519000332,0,4778841
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,svchost.exe,0.0,0.0,59.1,14071519000332,0,61926310
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,MySQLWorkbench.exe,0.0,0.0,48.9,14071519000332,0,51303866
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,Code.exe,0.0,0.0,69.7,14071519000332,0,73041296
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,csrss.exe,0.1,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-18-20,chrome.exe,0.0,0.0,3.4,14071519000332,0,3556048
