ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,System Idle Process,90.2,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,System,0.6,0.0,1200.2,14071519000332,0,1258491027
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,Registry,0.0,0.0,226.6,14071519000332,0,237658112
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,chrome.exe,0.0,0.0,6309.8,14071519000332,0,6616285510
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,lsass.exe,0.1,0.0,1.4,14071519000332,0,1483333
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,Code.exe,0.0,0.0,20.5,14071519000332,0,21448860
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4921708
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,svchost.exe,0.0,0.0,23.0,14071519000332,0,24104566
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,chrome.exe,0.0,0.0,1.5,14071519000332,0,1611372
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,Code.exe,0.0,0.0,231.1,14071519000332,0,242358310
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,svchost.exe,0.0,0.0,27.8,14071519000332,0,29108480
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,MemCompression,0.0,1.6,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,chrome.exe,0.0,0.0,188.2,14071519000332,0,197305354
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,svchost.exe,0.1,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-17-13,svchost.exe,0.0,0.0,15.9,14071519000332,0,16636688
