ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-05,12.0,49.6,17.7,0.1,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-11,11.3,49.6,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-16,12.1,49.6,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-22,11.0,49.6,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-28,11.8,49.6,17.7,5.7,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-34,10.5,49.6,17.7,0.2,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-40,12.0,49.9,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-46,12.1,49.9,17.7,0.3,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-52,10.1,49.8,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-27-58,10.5,49.8,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-04,11.4,49.7,17.7,0.1,14071519000332,41
