ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,System Idle Process,89.5,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,System,0.4,0.0,1202.5,14071519000332,0,1260932243
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,Registry,0.0,0.0,226.8,14071519000332,0,237826048
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,chrome.exe,0.0,0.0,6309.9,14071519000332,0,6616361124
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,lsass.exe,0.0,0.0,1.4,14071519000332,0,1483333
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,Code.exe,0.0,0.0,20.5,14071519000332,0,21507852
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,Code.exe,0.0,0.0,226.3,14071519000332,0,237294746
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4921932
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,23.0,14071519000332,0,24110115
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,chrome.exe,0.0,0.0,1.5,14071519000332,0,1611932
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,Code.exe,0.0,0.0,231.1,14071519000332,0,242368406
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,27.8,14071519000332,0,29108736
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,MemCompression,0.0,1.6,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,chrome.exe,0.0,0.0,188.5,14071519000332,0,197634324
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,15.9,14071519000332,0,16636688
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,chrome.exe,0.0,0.0,3.3,14071519000332,0,3444573
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125633366
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,22.4,14071519000332,0,23527633
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-19-25,svchost.exe,0.0,0.0,53.0,14071519000332,0,55558016
