ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,System Idle Process,88.4,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,System,0.6,0.0,1217.5,14071519000332,0,1276615827
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,Registry,0.0,0.0,227.9,14071519000332,0,238931968
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,chrome.exe,0.0,0.0,6339.1,14071519000332,0,6646976323
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,lsass.exe,0.1,0.0,1.4,14071519000332,0,1484473
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,Code.exe,0.0,0.0,20.7,14071519000332,0,21683836
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,Code.exe,0.0,0.0,226.3,14071519000332,0,237294746
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4923532
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,svchost.exe,0.0,0.0,23.6,14071519000332,0,24722017
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,chrome.exe,0.0,0.0,1.5,14071519000332,0,1614508
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,svchost.exe,0.0,0.0,25.1,14071519000332,0,26289650
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,Code.exe,0.0,0.0,231.2,14071519000332,0,242406918
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,svchost.exe,0.0,0.0,27.8,14071519000332,0,29138336
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,MemCompression,0.0,1.5,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,chrome.exe,0.0,0.0,190.1,14071519000332,0,199311836
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,svchost.exe,0.0,0.0,15.9,14071519000332,0,16649048
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,chrome.exe,0.0,0.0,3.3,14071519000332,0,3447261
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,Code.exe,0.0,1.6,3.6,14071519000332,0,3784603
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,svchost.exe,0.0,0.0,1.2,14071519000332,0,1264768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-28-05,Code.exe,0.0,0.0,1073.5,14071519000332,0,1125634430
