ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-50,8.9,49.0,17.7,0.7,14071519000332,32
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-56,7.8,49.0,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-02,8.4,49.0,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-08,13.2,49.4,17.7,19.5,14071519000332,73
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-14,8.4,49.4,17.7,0.4,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-19,7.5,49.3,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-25,8.4,49.3,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-31,7.7,49.3,17.7,1.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-37,9.2,49.3,17.7,0.1,14071519000332,42
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-43,10.6,49.5,17.7,5.5,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-49,12.1,49.5,17.7,0.4,14071519000332,40
