ip,hostname,timestamp,processo,cpu,ram,dados_gravados,mac,gpu,disco_uso
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,System Idle Process,92.4,0.0,0.0,14071519000332,0,0
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,System,0.2,0.0,1163.7,14071519000332,0,1220188819
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,Registry,0.0,0.0,224.2,14071519000332,0,235040768
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,chrome.exe,0.1,0.0,6279.1,14071519000332,0,6584140844
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,lsass.exe,0.0,0.0,1.4,14071519000332,0,1482193
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,Code.exe,0.0,0.0,20.1,14071519000332,0,21037340
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,Code.exe,0.0,0.0,226.3,14071519000332,0,237286018
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,msedgewebview2.exe,0.0,0.0,4.7,14071519000332,0,4897052
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,svchost.exe,0.0,0.0,22.6,14071519000332,0,23724754
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,chrome.exe,0.0,0.0,1.5,14071519000332,0,1574044
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,svchost.exe,0.0,0.0,24.8,14071519000332,0,25979970
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,Code.exe,0.0,0.0,231.1,14071519000332,0,242278870
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,svchost.exe,0.0,0.0,1.2,14071519000332,0,1265668
192.168.0.192,DESKTOP-N2E1DHL,2025-10-25_23-59-06,svchost.exe,0.0,0.0,27.7,14071519000332,0,29047328
