ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-35,10.1,49.8,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-41,10.8,49.8,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-47,11.7,49.8,17.7,0.2,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-53,10.9,49.8,17.7,0.0,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-08-59,11.9,49.0,17.7,0.1,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-05,10.9,49.0,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-11,10.4,48.9,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-17,10.4,48.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-23,10.5,48.9,17.7,0.0,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-29,10.5,48.9,17.7,0.0,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-09-34,9.9,48.9,17.7,0.1,14071519000332,37
