ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-12-55,12.0,49.6,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-01,12.2,49.5,17.7,0.4,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-07,12.3,49.5,17.7,0.1,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-13,13.2,49.5,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-19,13.1,49.5,17.7,0.7,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-25,13.1,49.5,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-31,12.6,49.5,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-37,12.2,49.5,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-43,14.1,49.5,17.7,0.2,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-49,12.9,49.5,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-13-55,12.8,49.7,17.7,0.2,14071519000332,39
