ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-12,13.6,52.1,17.7,0.6,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-18,15.5,49.5,17.7,0.2,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-24,10.4,49.4,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-30,11.3,49.3,17.7,0.7,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-36,11.4,49.3,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-42,11.8,49.3,17.7,0.9,14071519000332,29
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-49,11.0,49.2,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-00-55,10.4,49.2,17.7,0.2,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-01,10.1,49.2,17.7,0.4,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-01-07,11.1,49.2,17.7,0.5,14071519000332,38
