ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-45,10.3,48.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-51,9.7,48.9,17.7,0.0,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-10-57,9.4,48.9,17.7,0.1,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-03,10.6,48.9,17.7,0.0,14071519000332,32
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-09,9.0,48.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-15,8.9,48.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-21,9.2,48.9,17.7,0.0,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-26,9.5,48.9,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-32,10.0,48.9,17.7,0.1,14071519000332,36
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-38,10.3,48.9,17.7,0.2,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-11-44,10.8,49.0,17.7,0.1,14071519000332,41
